,x,SuccessRate,SuccessRateUnmixed,SuccessRateSemiUnmixed,PER,RedundancyUsedMin,RedundancyUsed,RedundancyUsedMax,Lost,WorseDiffRngmixedRlnc,WorseDiffRepeatmixedRlnc
0,0.001,0.69,0.66,0.69,0.325,0.0,0.7246376811594203,50.0,19.5,0.029999999999999916,0.0
1,0.011090909090909092,0.56,0.4,0.56,0.5176666666666667,0.0,21.696428571428573,200.0,31.06,0.16000000000000003,0.0
2,0.021181818181818184,0.42,0.31,0.41,0.6475,0.0,40.83333333333333,200.0,38.85,0.10999999999999999,0.010000000000000009
3,0.03127272727272727,0.42,0.22,0.41,0.6601666666666667,0.0,27.261904761904766,180.0,39.61,0.19999999999999998,0.010000000000000009
4,0.041363636363636366,0.52,0.21,0.48,0.6121666666666666,0.0,69.32692307692307,200.0,36.73,0.31000000000000005,0.040000000000000036
5,0.05145454545454546,0.48,0.22,0.43,0.6513333333333333,0.0,47.70833333333333,195.0,39.08,0.26,0.04999999999999999
6,0.06154545454545455,0.53,0.14,0.38,0.6345,0.0,81.22641509433961,200.0,38.07,0.39,0.15000000000000002
7,0.07163636363636364,0.51,0.2,0.42,0.6463333333333333,0.0,63.92156862745098,195.0,38.78,0.31,0.09000000000000002
8,0.08172727272727273,0.52,0.17,0.37,0.6343333333333333,0.0,72.59615384615384,195.0,38.06,0.35,0.15000000000000002
9,0.09181818181818183,0.69,0.19,0.51,0.5591666666666667,0.0,78.6231884057971,200.0,33.55,0.49999999999999994,0.17999999999999994
10,0.10190909090909092,0.56,0.14,0.32,0.6276666666666667,0.0,97.5,200.0,37.66,0.42000000000000004,0.24000000000000005
11,0.112,0.58,0.12,0.31,0.6268333333333334,0.0,83.10344827586206,200.0,37.61,0.45999999999999996,0.26999999999999996
12,0.1220909090909091,0.62,0.13,0.47,0.5906666666666667,0.0,87.25806451612904,195.0,35.44,0.49,0.15000000000000002
13,0.13218181818181818,0.58,0.12,0.38,0.6196666666666667,0.0,85.43103448275862,200.0,37.18,0.45999999999999996,0.19999999999999996
14,0.14227272727272727,0.57,0.12,0.35,0.6146666666666667,0.0,99.73684210526315,195.0,36.88,0.44999999999999996,0.21999999999999997
15,0.15236363636363637,0.58,0.06,0.29,0.6278333333333334,0.0,90.77586206896551,200.0,37.67,0.52,0.29
16,0.16245454545454546,0.58,0.16,0.25,0.614,0.0,87.93103448275862,200.0,36.84,0.41999999999999993,0.32999999999999996
