,Redundancy,SuccessRate,PER
119,58.0,1.000000000000002,0.1
120,59.0,1.0000000000000022,0.1
121,60.0,1.000000000000002,0.1
122,0.0,0.01152921504606852,0.2
123,1.0,0.057646075230342375,0.2
124,2.0,0.15449148161731774,0.2
125,3.0,0.29653141098488134,0.2
126,4.0,0.4598773297575798,0.2
127,5.0,0.6166894117793701,0.2
128,6.0,0.7473661467975289,0.2
129,7.0,0.8444402928110183,0.2
130,8.0,0.9099653413701235,0.2
131,9.0,0.9507364826957891,0.2
132,10.0,0.9743837446646751,0.2
133,11.0,0.9872822511931584,0.2
134,12.0,0.993946479566208,0.2
135,13.0,0.9972273304575558,0.2
136,14.0,0.9987740173063338,0.2
137,15.0,0.9994751820111135,0.2
138,16.0,0.9997819415694543,0.2
139,17.0,0.9999118632647517,0.2
140,18.0,0.9999652755172631,0.2
141,19.0,0.9999866404182675,0.2
142,20.0,0.9999949727296593,0.2
143,21.0,0.9999981469435228,0.2
144,22.0,0.9999993300595995,0.2
145,23.0,0.9999997621541664,0.2
146,24.0,0.9999999169880529,0.2
147,25.0,0.9999999714895813,0.2
148,26.0,0.9999999903554948,0.2
149,27.0,0.9999999967838803,0.2
150,28.0,0.9999999989419807,0.2
151,29.0,0.9999999996563869,0.2
152,30.0,0.9999999998897595,0.2
153,31.0,0.999999999965041,0.2
154,32.0,0.999999999989037,0.2
155,33.0,0.9999999999965995,0.2
156,34.0,0.9999999999989573,0.2
157,35.0,0.9999999999996848,0.2
158,36.0,0.9999999999999072,0.2
159,37.0,0.9999999999999742,0.2
160,38.0,0.9999999999999948,0.2
161,39.0,1.0000000000000007,0.2
162,40.0,1.0000000000000024,0.2
163,41.0,1.0000000000000033,0.2
164,42.0,1.000000000000003,0.2
165,43.0,1.0000000000000033,0.2
166,44.0,1.0000000000000038,0.2
167,45.0,1.0000000000000038,0.2
168,46.0,1.0000000000000038,0.2
169,47.0,1.0000000000000036,0.2
170,48.0,1.0000000000000038,0.2
171,49.0,1.0000000000000036,0.2
172,50.0,1.0000000000000038,0.2
173,51.0,1.0000000000000038,0.2
174,52.0,1.0000000000000042,0.2
175,53.0,1.000000000000004,0.2
176,54.0,1.0000000000000042,0.2
177,55.0,1.0000000000000042,0.2
178,56.0,1.0000000000000042,0.2
179,57.0,1.0000000000000042,0.2
