,x,SuccessRate,PER,RedundancyUsed
0,0.0001,1.0,0.0,199.95
1,0.0001062122225147053,1.0,0.0,199.95
2,0.00011281036211513284,1.0,0.0,199.95
3,0.0001198183928293697,1.0,0.0,199.95
4,0.00012726177800547386,1.0,0.0,199.95
5,0.0001351675628313443,1.0,0.0,199.95
6,0.00014356447260213153,1.0,0.0,199.95
7,0.00015248301709223908,0.47,0.53125,199.45
8,0.0001619556014111451,1.0,0.0,199.95
9,0.00017201664374583478,0.84,0.165625,197.7
10,0.00018270270041765394,1.0,0.0,199.95
11,0.00019405259870797402,1.0,0.0,199.95
12,0.00020610757793528174,0.78,0.229,196.35000000000002
13,0.0002189114392962911,1.0,0.0,199.95
14,0.00023251070501552072,0.82,0.185,197.95000000000002
15,0.00024695478738159517,0.45,0.5535,198.55
16,0.00026229616828445725,0.62,0.381375,199.40000000000003
17,0.0002785905899058336,1.0,0.0,199.95
18,0.0002958972572558144,0.52,0.48925,196.05
19,0.0003142790532914556,1.0,0.0,199.95
20,0.0003338027673990301,1.0,0.0,199.95
21,0.00035453933807010236,1.0,0.0,199.95
22,0.00037656411065318043,0.88,0.122625,198.9
23,0.0003999571111174771,0.56,0.4485,196.55
24,0.00042480333682348237,0.46,0.545875,197.60000000000002
25,0.0004511930653568501,0.45,0.55425,198.25
26,0.00047922218254773736,0.18,0.82225,199.05
27,0.0005089925308674306,0.58,0.425875,197.55
28,0.0005406122794681455,0.46,0.548125,196.70000000000002
29,0.0005741963172105272,1.0,0.0,199.95
30,0.0006098666701068888,0.66,0.343375,197.45
31,0.0006477529446969525,0.27,0.735,197.95000000000002
32,0.0006879927989670831,0.25,0.751625,199.3
33,0.0007307324425240675,0.22,0.7965,193.2
34,0.0007761271678408036,0.36,0.649875,195.85
35,0.0008243419145041555,0.17,0.847875,195.79999999999998
36,0.0008755518685151354,0.56,0.448375,196.6
37,0.0009299430988189555,0.96,0.04325,198.64999999999998
38,0.0009877132333777358,0.42,0.588875,196.00000000000003
39,0.0010490721772423513,0.89,0.12525,193.85000000000002
40,0.0011142428752325098,0.4,0.616,193.29999999999998
41,0.0011834621219962047,0.74,0.267375,197.0
42,0.0012569814223918623,0.92,0.113375,186.3
43,0.0013350679053193524,0.76,0.250875,197.45
44,0.001418005294320207,0.88,0.1265,197.35
45,0.0015060949384736802,0.6,0.410875,194.65
46,0.0015996569073343792,0.47,0.54125,195.24999999999997
47,0.001699031153889846,0.8,0.214125,191.00000000000003
48,0.0018045787497636481,0.62,0.403125,189.75000000000003
49,0.001916683197152053,0.64,0.38575,189.65
50,0.0020357518222611083,0.71,0.31825,188.25
51,0.0021622172553071362,0.61,0.40825,190.75
52,0.0022965390024581693,0.59,0.441875,185.7
53,0.0024392051154278668,0.75,0.2785,188.55
54,0.0025907339647883204,0.54,0.481125,191.25
55,0.0027516761234450174,0.66,0.376875,184.5
56,0.002922616367117442,0.65,0.36775,191.49999999999997
57,0.003104175799093974,0.65,0.377875,186.70000000000002
58,0.003297014106981323,0.62,0.405375,192.1
59,0.0035018319596482306,0.63,0.387625,190.4
60,0.003719373553072644,0.56,0.460125,190.0
61,0.003950429314342617,0.6,0.444125,181.25
62,0.004195838773635732,0.62,0.42075,181.70000000000002
63,0.004456493614612261,0.56,0.498625,176.1
64,0.004733340914305613,0.39,0.650375,180.4
65,0.005027386584281869,0.53,0.504625,186.84999999999997
66,0.005339699025571896,0.74,0.302875,182.3
67,0.005671413010655979,0.79,0.261375,178.2
68,0.006023733806605876,0.7,0.37025,169.3
