,x,SuccessRate,SuccessRateUnmixed,SuccessRateSemiUnmixed,PER,RedundancyUsedMin,RedundancyUsed,RedundancyUsedMax,Lost,WorseDiffRngmixedRlnc,WorseDiffRepeatmixedRlnc
0,0.001,0.497,0.482,0.497,0.5117833333333334,0.0,2.796780684104628,190.0,30.707,0.015000000000000013,0.0
1,0.011090909090909092,0.43,0.356,0.425,0.6045,0.0,17.709302325581397,195.0,36.27,0.07400000000000001,0.0050000000000000044
2,0.021181818181818184,0.484,0.321,0.472,0.5944166666666667,0.0,33.4400826446281,200.0,35.665,0.16299999999999998,0.01200000000000001
3,0.03127272727272727,0.491,0.276,0.465,0.6087333333333333,0.0,42.39307535641548,200.0,36.524,0.21499999999999997,0.025999999999999968
4,0.041363636363636366,0.52,0.248,0.48,0.5999666666666666,0.0,47.82692307692308,200.0,35.998,0.272,0.040000000000000036
5,0.05145454545454546,0.534,0.243,0.482,0.59515,0.0,51.245318352059925,200.0,35.709,0.29100000000000004,0.052000000000000046
6,0.06154545454545455,0.511,0.247,0.441,0.6064333333333334,0.0,58.10176125244618,200.0,36.386,0.264,0.07
7,0.07163636363636364,0.555,0.213,0.452,0.5965166666666667,0.0,62.729729729729726,200.0,35.791,0.3420000000000001,0.10300000000000004
8,0.08172727272727273,0.559,0.194,0.451,0.5966,0.0,65.31305903398928,200.0,35.796,0.36500000000000005,0.10800000000000004
9,0.09181818181818183,0.567,0.179,0.426,0.6019333333333333,0.0,68.02469135802468,200.0,36.116,0.38799999999999996,0.14099999999999996
10,0.10190909090909092,0.544,0.159,0.382,0.6158,0.0,77.32536764705881,200.0,36.948,0.385,0.16200000000000003
11,0.112,0.583,0.163,0.368,0.6008666666666667,0.0,81.19210977701543,200.0,36.052,0.41999999999999993,0.21499999999999997
12,0.1220909090909091,0.584,0.148,0.374,0.5991166666666666,0.0,80.29109589041096,200.0,35.947,0.43599999999999994,0.20999999999999996
13,0.13218181818181818,0.595,0.147,0.35,0.6005,0.0,82.4033613445378,200.0,36.03,0.44799999999999995,0.245
14,0.14227272727272727,0.635,0.127,0.359,0.5865333333333334,0.0,80.31496062992126,200.0,35.192,0.508,0.276
15,0.15236363636363637,0.59,0.115,0.315,0.6105666666666667,0.0,88.4322033898305,200.0,36.634,0.475,0.27499999999999997
16,0.16245454545454546,0.615,0.122,0.294,0.60565,0.0,88.69918699186991,200.0,36.339,0.493,0.321
17,0.17254545454545456,0.622,0.099,0.246,0.6049166666666667,0.0,96.2299035369775,200.0,36.295,0.523,0.376
18,0.18263636363636365,0.643,0.106,0.276,0.5961333333333333,0.0,95.25660964230171,200.0,35.768,0.537,0.367
19,0.19272727272727275,0.649,0.105,0.261,0.5928666666666667,0.0,93.19722650231124,200.0,35.572,0.544,0.388
20,0.20281818181818184,0.623,0.097,0.244,0.6061333333333333,0.0,96.27608346709471,200.0,36.368,0.526,0.379
21,0.2129090909090909,0.645,0.092,0.228,0.6004333333333334,0.0,96.55813953488374,200.0,36.026,0.553,0.41700000000000004
22,0.223,0.644,0.091,0.213,0.60305,0.0,99.34006211180125,200.0,36.183,0.553,0.43100000000000005
23,0.2330909090909091,0.671,0.081,0.188,0.5979166666666667,0.0,103.91952309985098,200.0,35.875,0.5900000000000001,0.48300000000000004
24,0.2431818181818182,0.632,0.071,0.182,0.6036666666666667,0.0,100.73575949367088,200.0,36.22,0.561,0.45
25,0.25327272727272726,0.648,0.07,0.174,0.6092166666666666,0.0,106.47376543209877,200.0,36.553,0.5780000000000001,0.47400000000000003
26,0.26336363636363636,0.689,0.071,0.168,0.5972,0.0,104.55732946298983,200.0,35.832,0.618,0.5209999999999999
27,0.27345454545454545,0.676,0.067,0.175,0.5961333333333333,0.0,104.34171597633137,200.0,35.768,0.609,0.5010000000000001
28,0.28354545454545454,0.664,0.08,0.161,0.6005333333333334,0.0,104.8569277108434,200.0,36.032,0.5840000000000001,0.503
29,0.29363636363636364,0.697,0.062,0.15,0.5954166666666667,0.0,107.68292682926828,200.0,35.725,0.635,0.5469999999999999
30,0.30372727272727273,0.697,0.072,0.152,0.5939833333333333,0.0,108.39311334289815,200.0,35.639,0.625,0.5449999999999999
31,0.31381818181818183,0.672,0.06,0.132,0.6004333333333334,0.0,110.34970238095237,200.0,36.026,0.6120000000000001,0.54
32,0.3239090909090909,0.7,0.058,0.104,0.5966666666666667,0.0,110.55,200.0,35.8,0.6419999999999999,0.596
33,0.334,0.645,0.045,0.102,0.6136166666666667,0.0,113.68217054263566,200.0,36.817,0.6,0.543
34,0.3440909090909091,0.686,0.052,0.113,0.6030833333333333,0.0,112.43440233236151,200.0,36.185,0.634,0.5730000000000001
35,0.3541818181818182,0.716,0.054,0.096,0.5994166666666667,0.0,117.03212290502795,200.0,35.965,0.6619999999999999,0.62
36,0.3642727272727273,0.708,0.048,0.091,0.5991,0.0,113.53813559322035,200.0,35.946,0.6599999999999999,0.617
37,0.3743636363636364,0.694,0.043,0.076,0.60095,0.0,114.88472622478386,200.0,36.057,0.6509999999999999,0.618
38,0.3844545454545455,0.719,0.042,0.09,0.5991833333333333,0.0,115.88317107093185,200.0,35.951,0.6769999999999999,0.629
39,0.3945454545454546,0.729,0.039,0.066,0.5978,0.0,117.32510288065843,200.0,35.868,0.69,0.663
40,0.4046363636363637,0.709,0.053,0.083,0.5996166666666667,0.0,117.24259520451342,200.0,35.977,0.6559999999999999,0.626
41,0.4147272727272727,0.709,0.035,0.067,0.6013000000000001,5.0,115.43723554301832,200.0,36.078,0.6739999999999999,0.6419999999999999
42,0.4248181818181818,0.725,0.039,0.056,0.6013666666666667,0.0,118.58620689655172,200.0,36.082,0.6859999999999999,0.6689999999999999
43,0.4349090909090909,0.73,0.04,0.058,0.6052,0.0,120.03424657534246,200.0,36.312,0.69,0.6719999999999999
44,0.445,0.723,0.039,0.063,0.60075,10.0,118.47164591977871,200.0,36.045,0.6839999999999999,0.6599999999999999
45,0.4550909090909091,0.677,0.024,0.04,0.6144166666666667,5.0,124.68980797636632,200.0,36.865,0.653,0.637
46,0.4651818181818182,0.722,0.037,0.059,0.60525,0.0,120.01385041551248,200.0,36.315,0.6849999999999999,0.663
47,0.4752727272727273,0.747,0.037,0.059,0.6021166666666666,0.0,122.74431057563588,200.0,36.127,0.71,0.688
48,0.4853636363636364,0.705,0.034,0.057,0.6042833333333333,10.0,120.70212765957447,200.0,36.257,0.6709999999999999,0.6479999999999999
49,0.4954545454545455,0.735,0.027,0.05,0.6042833333333333,5.0,122.87755102040815,200.0,36.257,0.708,0.6849999999999999
50,0.5055454545454545,0.747,0.029,0.053,0.5953,0.0,120.21419009370815,200.0,35.718,0.718,0.694
51,0.5156363636363637,0.766,0.039,0.061,0.5957666666666667,10.0,123.70757180156659,200.0,35.746,0.727,0.7050000000000001
52,0.5257272727272727,0.723,0.019,0.037,0.60365,10.0,122.9045643153527,200.0,36.219,0.704,0.6859999999999999
53,0.5358181818181819,0.753,0.032,0.051,0.5979166666666667,5.0,122.21779548472776,200.0,35.875,0.721,0.702
54,0.5459090909090909,0.77,0.021,0.048,0.5976666666666667,5.0,124.53246753246754,200.0,35.86,0.749,0.722
55,0.556,0.765,0.034,0.04,0.5988833333333333,5.0,124.15032679738563,200.0,35.933,0.731,0.725
56,0.5660909090909091,0.751,0.023,0.028,0.6024166666666667,25.0,127.51664447403462,200.0,36.145,0.728,0.723
57,0.5761818181818182,0.747,0.025,0.036,0.60565,0.0,126.53279785809904,200.0,36.339,0.722,0.711
58,0.5862727272727273,0.803,0.025,0.035,0.5952833333333334,20.0,125.75342465753424,200.0,35.717,0.778,0.768
59,0.5963636363636364,0.782,0.023,0.027,0.6021833333333333,10.0,129.48849104859335,200.0,36.131,0.759,0.755
60,0.6064545454545455,0.786,0.018,0.039,0.5995,10.0,129.26208651399492,200.0,35.97,0.768,0.747
61,0.6165454545454546,0.77,0.019,0.019,0.60215,5.0,129.0,200.0,36.129,0.751,0.751
62,0.6266363636363637,0.799,0.02,0.029,0.6005333333333334,15.0,129.22403003754692,200.0,36.032,0.779,0.77
63,0.6367272727272728,0.788,0.019,0.027,0.6016666666666667,25.0,130.76776649746193,200.0,36.1,0.769,0.761
64,0.6468181818181818,0.773,0.017,0.02,0.6057,20.0,131.53945666235444,200.0,36.342,0.756,0.753
65,0.6569090909090909,0.801,0.02,0.015,0.6016666666666667,15.0,131.24843945068665,200.0,36.1,0.781,0.786
66,0.667,0.805,0.015,0.018,0.59665,10.0,128.31055900621118,200.0,35.799,0.79,0.787
67,0.6770909090909091,0.799,0.021,0.033,0.5976666666666667,15.0,128.86733416770966,200.0,35.86,0.778,0.766
68,0.6871818181818182,0.802,0.017,0.026,0.5998,10.0,131.17830423940148,200.0,35.988,0.785,0.776
69,0.6972727272727273,0.807,0.012,0.014,0.6005,25.0,131.41263940520446,200.0,36.03,0.795,0.793
70,0.7073636363636364,0.813,0.014,0.019,0.6021,20.0,132.98277982779828,200.0,36.126,0.7989999999999999,0.7939999999999999
71,0.7174545454545455,0.801,0.022,0.01,0.6001666666666666,20.0,130.36828963795256,200.0,36.01,0.779,0.791
72,0.7275454545454546,0.818,0.018,0.019,0.5971166666666666,15.0,130.7334963325183,200.0,35.827,0.7999999999999999,0.7989999999999999
73,0.7376363636363636,0.827,0.017,0.015,0.5937333333333333,15.0,129.63119709794438,200.0,35.624,0.8099999999999999,0.8119999999999999
74,0.7477272727272728,0.818,0.014,0.021,0.5979,25.0,130.95965770171148,200.0,35.874,0.8039999999999999,0.7969999999999999
75,0.7578181818181818,0.828,0.018,0.016,0.5989166666666667,20.0,133.5265700483092,200.0,35.935,0.8099999999999999,0.8119999999999999
76,0.767909090909091,0.804,0.007,0.018,0.6073833333333334,10.0,135.02487562189054,200.0,36.443,0.797,0.786
77,0.778,0.813,0.012,0.011,0.6030333333333333,30.0,134.50184501845018,200.0,36.182,0.8009999999999999,0.8019999999999999
78,0.7880909090909092,0.808,0.011,0.013,0.60245,35.0,133.75,200.0,36.147,0.797,0.795
79,0.7981818181818182,0.861,0.014,0.014,0.5928166666666667,30.0,132.77003484320556,200.0,35.569,0.847,0.847
80,0.8082727272727274,0.841,0.02,0.012,0.5989833333333333,20.0,135.38644470868013,200.0,35.939,0.821,0.829
81,0.8183636363636364,0.843,0.01,0.013,0.5978,25.0,134.24673784104388,200.0,35.868,0.833,0.83
82,0.8284545454545454,0.857,0.01,0.012,0.60005,10.0,136.09101516919486,200.0,36.003,0.847,0.845
83,0.8385454545454546,0.866,0.011,0.012,0.5990333333333333,35.0,136.70323325635104,200.0,35.942,0.855,0.854
84,0.8486363636363636,0.842,0.006,0.005,0.6001333333333333,25.0,135.45724465558195,200.0,36.008,0.836,0.837
85,0.8587272727272728,0.841,0.011,0.011,0.6014833333333334,30.0,135.95124851367422,200.0,36.089,0.83,0.83
86,0.8688181818181818,0.824,0.006,0.011,0.6036833333333333,30.0,137.97936893203885,200.0,36.221,0.818,0.813
87,0.878909090909091,0.867,0.01,0.012,0.5976333333333333,45.0,136.3148788927336,200.0,35.858,0.857,0.855
88,0.889,0.853,0.014,0.011,0.6037666666666667,35.0,139.06213364595547,200.0,36.226,0.839,0.842
