,x,SuccessRate,PER,RedundancyUsed
110,0.0016174666742233374,0.42,0.591,195.05
111,0.001694008802287872,0.48,0.532375,192.8
112,0.0017741730744509601,0.72,0.3105,185.35
113,0.0018581308986444498,0.51,0.526625,187.5
114,0.0019460617942055622,0.63,0.377375,195.45000000000002
115,0.002038153775726666,0.66,0.35275,192.7
116,0.002134603755069699,0.64,0.37575,192.65
117,0.0022356179624047783,0.49,0.535625,188.99999999999997
118,0.0023414123871733305,0.48,0.5392294303797468,189.8
119,0.0024522132399185403,0.71,0.31025,191.00000000000003
120,0.002568257435970688,0.57,0.48025,179.85
121,0.0026897931020215225,0.52,0.501875,188.29999999999998
122,0.0028170801066708688,0.7,0.325125,189.40000000000003
123,0.002950390616079906,0.71,0.32575,182.9
124,0.003090009675919158,0.72,0.334,181.2
125,0.0032362358208556053,0.78,0.23225,192.5
126,0.0033893817128820367,0.78,0.25325,185.10000000000002
127,0.0035497748098536207,0.57,0.473375,181.05
128,0.003717758065661061,0.88,0.143625,189.54999999999998
129,0.003893690663537564,0.6,0.432625,184.75000000000003
130,0.004077948784067485,0.92,0.083625,197.39999999999998
131,0.004270926409538859,0.7,0.325625,188.7
132,0.004473036166359721,0.72,0.313875,185.59999999999997
133,0.004684710207339385,0.61,0.43625,180.3
134,0.004906401135721315,0.57,0.456375,188.8
135,0.005138582972943202,0.58,0.44975,184.15
136,0.0053817521721937,0.68,0.3675,179.95
137,0.005636428679932833,0.52,0.51875,185.15
138,0.005903157047645993,0.62,0.44775,170.15
139,0.006182507596208572,0.48,0.555,185.05
140,0.0064750776353509065,0.59,0.452,180.65000000000003
141,0.006781492740831095,0.54,0.54075,165.85
142,0.007102408092046375,0.62,0.436375,177.9
143,0.007438509872943369,0.68,0.3645,177.65
144,0.007790516739222399,0.54,0.530875,167.5
145,0.00815918135497331,0.7,0.3806867088607595,165.65000000000003
146,0.00854529200202822,0.58,0.466125,176.8
147,0.00894967426547247,0.71,0.357625,168.35
148,0.009373192798917738,0.69,0.38525,167.8
149,0.009816753173311736,0.68,0.374125,176.8
150,0.010281303813237812,0.64,0.48248259493670886,146.4
151,0.010767838024844423,0.74,0.328,169.54999999999998
152,0.011277396119740902,0.76,0.347375,154.15
153,0.011811067639400605,0.81,0.24789082278481012,173.25
154,0.01236999368482776,0.6,0.458125,169.65
155,0.01295536935646947,0.78,0.321375,154.25
156,0.01356844630958961,0.68,0.391125,165.10000000000002
157,0.014210535430568908,0.62,0.46653164556962023,159.5
158,0.014883009639853296,0.66,0.4515,150.2
159,0.015587306827544261,0.69,0.4172816455696203,151.75
160,0.016324932927907626,0.75,0.402125,138.25
161,0.017097465139375174,0.73,0.404125,143.2
162,0.017906555296923775,0.75,0.3824240506329114,144.5
163,0.018753933404042987,0.69,0.446,140.7
164,0.019641411331843436,0.7,0.4635,131.4
165,0.020570886693214954,0.71,0.394875,152.9
166,0.021544346900318846,0.71,0.43188449367088605,138.2
167,0.022563873414089372,0.8,0.36075,127.60000000000002
168,0.0236316461948315,0.83,0.3561724683544304,125.75
169,0.02474994836343047,0.64,0.48814082278481014,141.90000000000003
170,0.02592117108314055,0.78,0.419125,116.70000000000002
171,0.02714781867239066,0.79,0.37015664556962025,128.85000000000002
172,0.028432513959539385,0.79,0.4135743670886076,115.35
173,0.029778003891029147,0.79,0.4115,114.25
174,0.031187165404930356,0.9,0.3408876582278481,105.75
175,0.03266301158243521,0.75,0.44871677215189876,116.4
176,0.03420869809045341,0.84,0.351629746835443,120.2
177,0.03582752992908632,0.81,0.38378164556962024,116.55
178,0.03752296849840637,0.84,0.36725,111.49999999999997
179,0.03929863899965212,0.84,0.3599335443037975,116.14999999999998
180,0.041158338186664825,0.85,0.410625,90.39999999999999
181,0.04310604248413962,0.87,0.3726882911392405,98.55
182,0.045145916490051105,0.9,0.35965981012658227,93.00000000000001
183,0.047282321880432,0.87,0.4079129746835443,86.29999999999998
184,0.04951982673554642,0.85,0.37398101265822786,102.8
185,0.051863215307398,0.89,0.3765506329113924,91.20000000000002
186,0.05431749824945828,0.84,0.4109272151898734,97.04999999999998
187,0.056887923330489094,0.88,0.3978354430379747,87.89999999999999
188,0.05957998665536622,0.81,0.459876582278481,90.45000000000002
189,0.0623994444168982,0.91,0.414125,68.75
190,0.06535232520376653,0.88,0.380125,92.3
191,0.06844494289090605,0.84,0.43559177215189876,83.79999999999998
192,0.07168391013988566,0.9,0.4022262658227848,76.00000000000001
193,0.07507615253815839,0.88,0.3972674050632911,81.00000000000001
194,0.07862892340741143,0.86,0.42342879746835443,77.89999999999999
195,0.08234981931268026,0.96,0.3270490506329114,85.35
196,0.08624679630538962,0.92,0.39303006329113926,73.4
197,0.09032818693504985,0.94,0.41759335443037976,62.54999999999999
198,0.09460271806598623,0.92,0.40495727848101265,69.25000000000001
199,0.09907952953719419,0.94,0.3928022151898734,62.19999999999999
200,0.1037681937052218,0.95,0.4138354430379747,51.199999999999996
201,0.10867873591186356,0.95,0.39417246835443037,59.04999999999999
202,0.11382165592043307,0.95,0.35821677215189873,73.2
203,0.1192079503664454,0.95,0.3647294303797468,70.15
204,0.12484913627071785,0.94,0.3916661392405063,63.44999999999999
205,0.13075727566516196,0.95,0.3867895569620253,62.80000000000001
206,0.13694500138392415,0.96,0.4103338607594937,52.5
207,0.14342554407501815,0.93,0.4232642405063291,58.95
208,0.15021276049021073,0.98,0.39869303797468353,47.15
209,0.1573211631136461,0.94,0.40839240506329116,56.9
210,0.16476595119256485,0.99,0.3804240506329114,50.95
211,0.17256304323646238,0.99,0.41753164556962025,36.050000000000004
212,0.18072911105418282,1.0,0.39919303797468353,40.3
213,0.18928161540172442,0.99,0.41869303797468355,41.6
214,0.198238843316975,0.98,0.4111740506329114,42.300000000000004
215,0.20761994722121405,0.98,0.3766787974683544,55.8
216,0.2174449858709829,0.98,0.4000395569620253,49.49999999999999
217,0.22773496724789102,1.0,0.4261471518987342,29.499999999999993
218,0.2385118934780594,0.99,0.44980854430379746,26.300000000000004
219,0.24979880787725564,0.97,0.4080522151898734,45.99999999999999
220,0.26161984422231044,0.99,0.4370379746835443,28.3
221,0.2740002783541624,1.0,0.3986471518987342,40.50000000000001
222,0.28696658222287913,1.0,0.3984256329113924,40.60000000000001
223,0.30054648049020594,0.99,0.40868354430379744,39.60000000000001
224,0.3147690098106772,1.0,0.3990379746835443,40.35
225,0.3296645809180352,0.98,0.4075617088607595,43.14999999999999
226,0.34526504364972305,1.0,0.40043354430379746,39.800000000000004
227,0.36160375504848113,1.0,0.39427215189873416,42.24999999999999
228,0.3787156506866572,1.0,0.4000395569620253,39.949999999999996
229,0.3966373193657481,1.0,0.42066930379746836,31.7
230,0.4154070813508865,1.0,0.38882120253164554,44.45
231,0.43506507030756264,1.0,0.41830379746835444,32.650000000000006
232,0.45565331911576595,1.0,0.41354272151898736,34.55
233,0.47721584974505044,1.0,0.40656962025316457,40.35
234,0.49979876738268936,1.0,0.39079746835443036,43.65
235,0.5234503590161749,1.0,0.4007927215189873,39.65
236,0.5482211966808713,1.0,0.4134272151898734,34.60000000000001
237,0.574164245593571,1.0,0.4024208860759494,39.00000000000001
238,0.6013349774031784,1.0,0.3956772151898734,41.7
239,0.629791488800657,1.0,0.4136867088607595,34.49999999999999
240,0.6595946257418732,1.0,0.3926756329113924,42.89999999999999
241,0.6908081135489438,1.0,0.39204588607594937,43.14999999999999
242,0.7234986931682564,1.0,0.40593354430379747,37.6
243,0.7577362638765365,1.0,0.40828164556962027,36.64999999999999
244,0.7935940327400753,1.0,0.41341930379746833,34.60000000000001
245,0.8311486711467112,1.0,0.3965411392405063,41.35
246,0.8704804787452367,1.0,0.40591455696202533,37.6
247,0.9116735551428005,1.0,0.40554272151898735,37.75000000000001
248,0.9548159797274021,1.0,0.4128022151898734,34.849999999999994
249,1.0,1.0,0.3961724683544304,41.50000000000001
