,x,SuccessRate,PER,RedundancyUsed
0,1e-05,1.0,0.0,199.95
1,1.0589473597119617e-05,1.0,0.0,199.95
2,1.1213695106409324e-05,1.0,0.0,199.95
3,1.1874712825547099e-05,1.0,0.0,199.95
4,1.2574695793950868e-05,1.0,0.0,199.95
5,1.3315940910185381e-05,1.0,0.0,199.95
6,1.4100880468921276e-05,1.0,0.0,199.95
7,1.4932090142178153e-05,1.0,0.0,199.95
8,1.5812297431040565e-05,1.0,0.0,199.95
9,1.6744390615580606e-05,1.0,0.0,199.95
10,1.7731428232354833e-05,1.0,0.0,199.95
11,1.8776649110574286e-05,1.0,0.0,199.95
12,1.9883482999880552e-05,1.0,0.0,199.95
13,2.1055561824601186e-05,1.0,0.0,199.95
14,2.2296731601413397e-05,1.0,0.0,199.95
15,2.361106505952293e-05,1.0,0.0,199.95
16,2.5002875004769157e-05,1.0,0.0,199.95
17,2.64767284715085e-05,1.0,0.0,199.95
18,2.8037461708714446e-05,0.99,0.0115,199.34999999999997
19,2.9690196049468328e-05,1.0,0.0,199.95
20,3.1440354715915004e-05,1.0,0.0,199.95
21,3.329368061482571e-05,1.0,0.0,199.95
22,3.525625518216293e-05,0.29,0.713125,198.7
23,3.733451833848261e-05,1.0,0.0,199.95
24,3.953528962065397e-05,1.0,0.0,199.95
25,4.186579055923925e-05,0.4,0.60725,197.04999999999998
26,4.433366837496028e-05,0.47,0.53675,197.25000000000003
27,4.694702107200988e-05,1.0,0.0,199.95
28,4.971442401054669e-05,1.0,0.0,199.95
29,5.264495804556926e-05,1.0,0.0,199.95
30,5.574823932450256e-05,1.0,0.0,199.95
31,5.903445084127254e-05,1.0,0.0,199.95
32,6.251437585041102e-05,1.0,0.0,199.95
33,6.619943325083397e-05,0.11,0.890375,199.8
34,7.010171505539888e-05,1.0,0.0,199.95
35,7.423402606919476e-05,1.0,0.0,199.95
36,7.860992590676273e-05,1.0,0.0,199.95
37,8.324377348611931e-05,1.0,0.0,199.95
38,8.815077414558665e-05,1.0,0.0,199.95
39,9.334702953803425e-05,1.0,0.0,199.95
