,Steps,Success,Filtered
0,0,1,1.0
1,1,1,1.0
2,2,1,1.0
3,3,1,1.0
4,4,1,1.0
5,5,1,1.0
6,6,1,1.0
7,7,1,1.0
8,8,1,1.0
9,9,1,1.0
10,10,1,1.0
11,11,1,1.0
12,12,1,1.0
13,13,1,1.0
14,14,1,1.0
15,15,1,1.0
16,16,1,1.0
17,17,1,1.0
18,18,1,1.0
19,19,1,1.0
20,20,1,1.0
21,21,1,1.0
22,22,1,1.0
23,23,1,1.0
24,24,1,1.0
25,25,1,1.0
26,26,1,1.0
27,27,1,1.0
28,28,1,1.0
29,29,1,1.0
30,30,1,1.0
31,31,1,1.0
32,32,1,1.0
33,33,1,1.0
34,34,1,1.0
35,35,1,1.0
36,36,1,1.0
37,37,1,1.0
38,38,1,1.0
39,39,1,1.0
40,40,1,1.0
41,41,1,1.0
42,42,1,1.0
43,43,1,1.0
44,44,1,1.0
45,45,1,0.989010989010989
46,46,1,0.989010989010989
47,47,1,0.989010989010989
48,48,1,0.989010989010989
49,49,1,0.989010989010989
50,50,1,0.989010989010989
51,51,1,0.989010989010989
52,52,1,0.989010989010989
53,53,1,0.989010989010989
54,54,1,0.989010989010989
55,55,1,0.989010989010989
56,56,1,0.989010989010989
57,57,1,0.989010989010989
58,58,1,0.989010989010989
59,59,1,0.989010989010989
60,60,1,0.978021978021978
61,61,1,0.978021978021978
62,62,1,0.978021978021978
63,63,1,0.978021978021978
64,64,1,0.978021978021978
65,65,1,0.978021978021978
66,66,1,0.978021978021978
67,67,1,0.978021978021978
68,68,1,0.978021978021978
69,69,1,0.967032967032967
70,70,1,0.967032967032967
71,71,1,0.967032967032967
72,72,1,0.967032967032967
73,73,1,0.967032967032967
74,74,1,0.967032967032967
75,75,1,0.967032967032967
76,76,1,0.967032967032967
77,77,1,0.967032967032967
78,78,1,0.967032967032967
79,79,1,0.967032967032967
80,80,1,0.967032967032967
81,81,1,0.967032967032967
82,82,1,0.967032967032967
83,83,1,0.967032967032967
84,84,1,0.967032967032967
85,85,1,0.967032967032967
86,86,1,0.967032967032967
87,87,1,0.967032967032967
88,88,1,0.967032967032967
89,89,1,0.967032967032967
90,90,0,0.967032967032967
91,91,1,0.967032967032967
92,92,1,0.967032967032967
93,93,1,0.967032967032967
94,94,1,0.967032967032967
95,95,1,0.967032967032967
96,96,1,0.967032967032967
97,97,1,0.9560439560439561
98,98,1,0.9560439560439561
99,99,1,0.9560439560439561
100,100,1,0.9560439560439561
101,101,1,0.9560439560439561
102,102,1,0.945054945054945
103,103,1,0.945054945054945
104,104,1,0.945054945054945
105,105,0,0.945054945054945
106,106,1,0.945054945054945
107,107,1,0.945054945054945
108,108,1,0.945054945054945
109,109,1,0.945054945054945
110,110,1,0.945054945054945
111,111,1,0.945054945054945
112,112,1,0.945054945054945
113,113,1,0.945054945054945
114,114,0,0.945054945054945
115,115,1,0.945054945054945
116,116,1,0.945054945054945
117,117,1,0.945054945054945
118,118,1,0.945054945054945
119,119,1,0.945054945054945
120,120,1,0.945054945054945
121,121,1,0.945054945054945
122,122,1,0.945054945054945
123,123,1,0.945054945054945
124,124,1,0.945054945054945
125,125,1,0.945054945054945
126,126,1,0.945054945054945
127,127,1,0.945054945054945
128,128,1,0.945054945054945
129,129,1,0.945054945054945
130,130,1,0.945054945054945
131,131,1,0.945054945054945
132,132,1,0.945054945054945
133,133,1,0.9340659340659341
134,134,1,0.9340659340659341
135,135,1,0.9340659340659341
136,136,1,0.945054945054945
137,137,1,0.945054945054945
138,138,1,0.945054945054945
139,139,1,0.945054945054945
140,140,1,0.945054945054945
141,141,1,0.945054945054945
142,142,0,0.945054945054945
143,143,1,0.945054945054945
144,144,1,0.945054945054945
145,145,1,0.945054945054945
146,146,1,0.945054945054945
147,147,0,0.945054945054945
148,148,1,0.945054945054945
149,149,1,0.945054945054945
150,150,1,0.945054945054945
151,151,1,0.9560439560439561
152,152,1,0.9560439560439561
153,153,1,0.9560439560439561
154,154,1,0.9560439560439561
155,155,1,0.9560439560439561
156,156,1,0.9560439560439561
157,157,1,0.9560439560439561
158,158,1,0.9560439560439561
159,159,1,0.9560439560439561
160,160,1,0.967032967032967
161,161,1,0.967032967032967
162,162,1,0.967032967032967
163,163,1,0.967032967032967
164,164,1,0.967032967032967
165,165,1,0.967032967032967
166,166,1,0.967032967032967
167,167,1,0.967032967032967
168,168,1,0.967032967032967
169,169,1,0.967032967032967
170,170,1,0.967032967032967
171,171,1,0.967032967032967
172,172,1,0.967032967032967
173,173,1,0.967032967032967
174,174,1,0.967032967032967
175,175,1,0.967032967032967
176,176,1,0.967032967032967
177,177,1,0.967032967032967
178,178,0,0.967032967032967
179,179,1,0.9560439560439561
180,180,1,0.9560439560439561
181,181,1,0.9560439560439561
182,182,1,0.9560439560439561
183,183,1,0.9560439560439561
184,184,1,0.9560439560439561
185,185,1,0.9560439560439561
186,186,1,0.9560439560439561
187,187,1,0.9560439560439561
188,188,1,0.967032967032967
189,189,1,0.967032967032967
190,190,1,0.967032967032967
191,191,1,0.967032967032967
192,192,1,0.967032967032967
193,193,1,0.978021978021978
194,194,1,0.978021978021978
195,195,1,0.967032967032967
196,196,1,0.967032967032967
197,197,1,0.967032967032967
198,198,1,0.967032967032967
199,199,1,0.967032967032967
200,200,1,0.967032967032967
201,201,1,0.967032967032967
202,202,1,0.967032967032967
203,203,1,0.967032967032967
204,204,1,0.967032967032967
205,205,1,0.9560439560439561
206,206,1,0.9560439560439561
207,207,1,0.9560439560439561
208,208,1,0.9560439560439561
209,209,1,0.9560439560439561
210,210,1,0.9560439560439561
211,211,1,0.9560439560439561
212,212,1,0.9560439560439561
213,213,1,0.9560439560439561
214,214,1,0.9560439560439561
215,215,1,0.9560439560439561
216,216,1,0.9560439560439561
217,217,1,0.9560439560439561
218,218,1,0.9560439560439561
219,219,1,0.9560439560439561
220,220,1,0.9560439560439561
221,221,1,0.9560439560439561
222,222,1,0.9560439560439561
223,223,1,0.9560439560439561
224,224,0,0.967032967032967
225,225,1,0.967032967032967
226,226,1,0.967032967032967
227,227,1,0.967032967032967
228,228,1,0.967032967032967
229,229,1,0.967032967032967
230,230,1,0.967032967032967
231,231,1,0.967032967032967
232,232,1,0.967032967032967
233,233,1,0.967032967032967
234,234,1,0.967032967032967
235,235,1,0.967032967032967
236,236,1,0.967032967032967
237,237,1,0.967032967032967
238,238,1,0.967032967032967
239,239,1,0.967032967032967
240,240,0,0.967032967032967
241,241,1,0.967032967032967
242,242,1,0.967032967032967
243,243,1,0.967032967032967
244,244,1,0.967032967032967
245,245,1,0.967032967032967
246,246,1,0.967032967032967
247,247,1,0.967032967032967
248,248,1,0.967032967032967
249,249,1,0.967032967032967
250,250,0,0.967032967032967
251,251,1,0.967032967032967
252,252,1,0.967032967032967
253,253,1,0.967032967032967
254,254,1,0.967032967032967
255,255,1,0.967032967032967
256,256,1,0.967032967032967
257,257,1,0.967032967032967
258,258,1,0.967032967032967
259,259,1,0.967032967032967
260,260,1,0.967032967032967
261,261,1,0.967032967032967
262,262,1,0.967032967032967
263,263,1,0.967032967032967
264,264,1,0.967032967032967
265,265,1,0.967032967032967
266,266,1,0.967032967032967
267,267,1,0.967032967032967
268,268,1,0.967032967032967
269,269,1,0.967032967032967
270,270,1,0.978021978021978
271,271,1,0.978021978021978
272,272,1,0.978021978021978
273,273,1,0.978021978021978
274,274,1,0.978021978021978
275,275,1,0.978021978021978
276,276,1,0.978021978021978
277,277,1,0.978021978021978
278,278,1,0.978021978021978
279,279,1,0.967032967032967
280,280,1,0.967032967032967
281,281,1,0.967032967032967
282,282,1,0.967032967032967
283,283,1,0.967032967032967
284,284,1,0.967032967032967
285,285,1,0.967032967032967
286,286,1,0.978021978021978
287,287,1,0.978021978021978
288,288,1,0.978021978021978
289,289,1,0.978021978021978
290,290,1,0.978021978021978
291,291,1,0.978021978021978
292,292,1,0.978021978021978
293,293,1,0.978021978021978
294,294,1,0.978021978021978
295,295,1,0.978021978021978
296,296,1,0.989010989010989
297,297,1,0.989010989010989
298,298,1,0.989010989010989
299,299,1,0.989010989010989
300,300,1,0.989010989010989
301,301,1,0.989010989010989
302,302,1,0.989010989010989
303,303,1,0.989010989010989
304,304,1,0.989010989010989
305,305,1,0.989010989010989
306,306,1,0.989010989010989
307,307,1,0.989010989010989
308,308,1,0.989010989010989
309,309,1,0.989010989010989
310,310,1,0.989010989010989
311,311,1,0.989010989010989
312,312,1,0.989010989010989
313,313,1,0.978021978021978
314,314,1,0.978021978021978
315,315,1,0.978021978021978
316,316,1,0.978021978021978
317,317,1,0.978021978021978
318,318,1,0.978021978021978
319,319,1,0.978021978021978
320,320,1,0.978021978021978
321,321,1,0.978021978021978
322,322,1,0.978021978021978
323,323,1,0.978021978021978
324,324,0,0.978021978021978
325,325,1,0.978021978021978
