PerConfig,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
0,0,19,19,0,60,True,19,0,20,True,124,184,2932232616,959586516
0,1,19,99,0,60,True,19,0,20,True,239,134,2932232616,959586516
0,2,19,179,0,60,True,19,0,20,True,143,75,2932232616,959586516
0,3,19,259,0,60,True,19,0,20,True,28,250,2932232616,959586516
0,4,19,339,0,60,True,19,0,20,True,79,38,2932232616,959586516
0,5,19,419,0,60,True,19,0,20,True,113,181,2932232616,959586516
0,6,19,499,0,60,True,19,0,20,True,188,145,2932232616,959586516
0,7,19,579,0,60,True,19,0,20,True,198,2,2932232616,959586516
0,8,19,659,0,60,True,19,0,20,True,26,222,2932232616,959586516
0,9,19,739,0,60,True,19,0,20,True,137,111,2932232616,959586516
0,10,19,819,0,60,True,19,0,20,True,102,162,2932232616,959586516
0,11,19,899,0,60,True,19,0,20,True,245,156,2932232616,959586516
0,12,19,979,0,60,True,19,0,20,True,41,71,2932232616,959586516
0,13,19,1059,0,60,True,19,0,20,True,16,212,2932232616,959586516
0,14,19,1139,0,60,True,19,0,20,True,221,180,2932232616,959586516
0,15,19,1219,0,60,True,19,0,20,True,227,39,2932232616,959586516
0,16,19,1299,0,60,True,19,0,20,True,176,116,2932232616,959586516
0,17,19,1379,0,60,True,19,0,20,True,35,74,2932232616,959586516
0,18,19,1459,0,60,True,19,0,20,True,67,135,2932232616,959586516
0,19,19,1539,0,60,True,19,0,20,True,208,253,2932232616,959586516
0,20,19,1619,0,60,True,19,0,20,True,72,33,2932232616,959586516
0,21,19,1699,0,60,True,19,0,20,True,118,178,2932232616,959586516
0,22,19,1779,0,60,True,19,0,20,True,187,93,2932232616,959586516
0,23,19,1859,0,60,True,19,0,20,True,10,206,2932232616,959586516
0,24,19,1939,0,60,True,19,0,20,True,214,18,2932232616,959586516
0,25,19,2019,0,60,True,19,0,20,True,69,173,2932232616,959586516
0,26,19,2099,0,60,True,19,0,20,True,164,96,2932232616,959586516
0,27,19,2179,0,60,True,19,0,20,True,55,94,2932232616,959586516
0,28,19,2259,0,60,True,19,0,20,True,235,13,2932232616,959586516
0,29,19,2339,0,60,True,19,0,20,True,90,158,2932232616,959586516
0.1,0,23,23,4,60,True,19,4,20,True,124,184,1188080670,3414165203
0.1,1,24,104,5,60,True,19,5,20,True,239,134,3414165203,1215546913
0.1,2,19,179,0,60,True,19,0,20,True,143,75,2932232616,959586516
0.1,3,23,263,4,60,True,19,4,20,True,28,250,1188080670,3414165203
0.1,4,21,341,2,60,True,19,2,20,True,79,38,369227209,159028224
0.1,5,20,420,1,60,True,19,1,20,True,113,181,959586516,369227209
0.1,6,19,499,0,60,True,19,0,20,True,188,145,2932232616,959586516
0.1,7,21,581,2,60,True,19,2,20,True,198,2,369227209,159028224
0.1,8,19,659,0,60,True,19,0,20,True,26,222,2932232616,959586516
0.1,9,20,740,1,60,True,19,1,20,True,137,111,959586516,369227209
0.1,10,25,825,6,60,True,19,6,20,True,102,162,1215546913,117655301
0.1,11,20,900,1,60,True,19,1,20,True,245,156,959586516,369227209
0.1,12,20,980,1,60,True,19,1,20,True,41,71,959586516,369227209
0.1,13,21,1061,2,60,True,19,2,20,True,16,212,369227209,159028224
0.1,14,23,1143,4,60,True,19,4,20,True,221,180,1188080670,3414165203
0.1,15,22,1222,3,60,True,19,3,20,True,227,39,159028224,1188080670
0.1,16,22,1302,3,60,True,19,3,20,True,176,116,159028224,1188080670
0.1,17,20,1380,1,60,True,19,1,20,True,35,74,959586516,369227209
0.1,18,23,1463,4,60,True,19,4,20,True,67,135,1188080670,3414165203
