,Redundancy,SuccessRate,PER
0,0.0,0.12157665459056932,0.1
1,1.0,0.3647299637717081,0.1
2,2.0,0.6200409384119038,0.1
3,3.0,0.8072689864813807,0.1
4,4.0,0.9149251141213299,0.1
5,5.0,0.9666000553885055,0.1
6,6.0,0.9881312809164953,0.1
7,7.0,0.996128593255463,0.1
8,8.0,0.9988276861698646,0.1
9,9.0,0.9996674039654562,0.1
10,10.0,0.9999109221261778,0.1
11,11.0,0.999977336170011,0.1
12,12.0,0.9999944931313345,0.1
13,13.0,0.9999987163833528,0.1
14,14.0,0.9999997118641856,0.1
15,15.0,0.999999937506508,0.1
16,16.0,0.9999999868657656,0.1
17,17.0,0.9999999973183146,0.1
18,18.0,0.999999999466894,0.1
19,19.0,0.9999999998966099,0.1
20,20.0,0.9999999999804046,0.1
21,21.0,0.9999999999963655,0.1
22,22.0,0.9999999999993401,0.1
23,23.0,0.9999999999998832,0.1
24,24.0,0.9999999999999807,0.1
25,25.0,0.9999999999999977,0.1
26,26.0,1.0000000000000007,0.1
27,27.0,1.0000000000000013,0.1
28,28.0,1.0000000000000013,0.1
29,29.0,1.0000000000000013,0.1
30,30.0,1.0000000000000016,0.1
31,31.0,1.0000000000000016,0.1
32,32.0,1.0000000000000016,0.1
33,33.0,1.0000000000000013,0.1
34,34.0,1.0000000000000016,0.1
35,35.0,1.0000000000000016,0.1
36,36.0,1.0000000000000016,0.1
37,37.0,1.0000000000000018,0.1
38,38.0,1.0000000000000016,0.1
39,39.0,1.0000000000000016,0.1
40,40.0,1.0000000000000018,0.1
41,41.0,1.0000000000000018,0.1
42,42.0,1.0000000000000018,0.1
43,43.0,1.0000000000000016,0.1
44,44.0,1.0000000000000018,0.1
45,45.0,1.0000000000000018,0.1
46,46.0,1.0000000000000018,0.1
47,47.0,1.000000000000002,0.1
48,48.0,1.000000000000002,0.1
49,49.0,1.0000000000000018,0.1
50,50.0,1.0000000000000018,0.1
51,51.0,1.000000000000002,0.1
52,52.0,1.000000000000002,0.1
53,53.0,1.000000000000002,0.1
54,54.0,1.000000000000002,0.1
55,55.0,1.000000000000002,0.1
56,56.0,1.0000000000000022,0.1
57,57.0,1.0000000000000022,0.1
58,58.0,1.000000000000002,0.1
59,59.0,1.0000000000000022,0.1
60,60.0,1.000000000000002,0.1
61,0.0,0.01152921504606852,0.2
62,1.0,0.057646075230342375,0.2
63,2.0,0.15449148161731774,0.2
64,3.0,0.29653141098488134,0.2
65,4.0,0.4598773297575798,0.2
66,5.0,0.6166894117793701,0.2
67,6.0,0.7473661467975289,0.2
68,7.0,0.8444402928110183,0.2
69,8.0,0.9099653413701235,0.2
70,9.0,0.9507364826957891,0.2
71,10.0,0.9743837446646751,0.2
72,11.0,0.9872822511931584,0.2
73,12.0,0.993946479566208,0.2
74,13.0,0.9972273304575558,0.2
75,14.0,0.9987740173063338,0.2
76,15.0,0.9994751820111135,0.2
77,16.0,0.9997819415694543,0.2
78,17.0,0.9999118632647517,0.2
79,18.0,0.9999652755172631,0.2
80,19.0,0.9999866404182675,0.2
81,20.0,0.9999949727296593,0.2
82,21.0,0.9999981469435228,0.2
83,22.0,0.9999993300595995,0.2
84,23.0,0.9999997621541664,0.2
85,24.0,0.9999999169880529,0.2
86,25.0,0.9999999714895813,0.2
87,26.0,0.9999999903554948,0.2
88,27.0,0.9999999967838803,0.2
89,28.0,0.9999999989419807,0.2
90,29.0,0.9999999996563869,0.2
91,30.0,0.9999999998897595,0.2
92,31.0,0.999999999965041,0.2
93,32.0,0.999999999989037,0.2
94,33.0,0.9999999999965995,0.2
95,34.0,0.9999999999989573,0.2
96,35.0,0.9999999999996848,0.2
97,36.0,0.9999999999999072,0.2
98,37.0,0.9999999999999742,0.2
99,38.0,0.9999999999999948,0.2
100,39.0,1.0000000000000007,0.2
101,40.0,1.0000000000000024,0.2
102,41.0,1.0000000000000033,0.2
103,42.0,1.000000000000003,0.2
104,43.0,1.0000000000000033,0.2
105,44.0,1.0000000000000038,0.2
106,45.0,1.0000000000000038,0.2
107,46.0,1.0000000000000038,0.2
108,47.0,1.0000000000000036,0.2
109,48.0,1.0000000000000038,0.2
110,49.0,1.0000000000000036,0.2
111,50.0,1.0000000000000038,0.2
112,51.0,1.0000000000000038,0.2
113,52.0,1.0000000000000042,0.2
114,53.0,1.000000000000004,0.2
115,54.0,1.0000000000000042,0.2
116,55.0,1.0000000000000042,0.2
117,56.0,1.0000000000000042,0.2
118,57.0,1.0000000000000042,0.2
119,58.0,1.0000000000000044,0.2
120,59.0,1.0000000000000042,0.2
121,60.0,1.0000000000000044,0.2
122,0.0,0.0007979226629760694,0.3
123,1.0,0.005585458640832819,0.3
124,2.0,0.02066619697108152,0.3
125,3.0,0.05384382129762855,0.3
126,4.0,0.11107522326092212,0.3
127,5.0,0.19348844208806493,0.3
128,6.0,0.29650496562199335,0.3
129,7.0,0.4112948061312278,0.3
130,8.0,0.527519519646828,0.3
131,9.0,0.6359959189280547,0.3
132,10.0,0.7303703863027219,0.3
133,11.0,0.8075858596092678,0.3
134,12.0,0.867427851421841,0.3
135,13.0,0.9116188607603563,0.3
136,14.0,0.9428682173640208,0.3
137,15.0,0.9641177798545126,0.3
138,16.0,0.978062805238898,0.3
139,17.0,0.9869219978360367,0.3
140,18.0,0.9923851666042722,0.3
141,19.0,0.9956630678652135,0.3
142,20.0,0.9975806401028642,0.3
143,21.0,0.9986763956672358,0.3
144,22.0,0.9992890226418621,0.3
145,23.0,0.9996246356801354,0.3
146,24.0,0.9998050276882071,0.3
147,25.0,0.9999002746684694,0.3
148,26.0,0.9999497298312977,0.3
149,27.0,0.9999750069145207,0.3
150,28.0,0.9999877357314297,0.3
151,29.0,0.9999940562474119,0.3
152,30.0,0.9999971533002432,0.3
153,31.0,0.9999986518741938,0.3
154,32.0,0.999999368379864,0.3
155,33.0,0.9999997070916353,0.3
156,34.0,0.9999998654891987,0.3
157,35.0,0.9999999388046426,0.3
158,36.0,0.9999999724075543,0.3
159,37.0,0.9999999876650927,0.3
160,38.0,0.9999999945309844,0.3
161,39.0,0.9999999975942286,0.3
162,40.0,0.9999999989497143,0.3
163,41.0,0.9999999995448053,0.3
164,42.0,0.9999999998040954,0.3
165,43.0,0.9999999999162527,0.3
166,44.0,0.9999999999644302,0.3
167,45.0,0.9999999999849853,0.3
168,46.0,0.9999999999936988,0.3
169,47.0,0.9999999999973698,0.3
170,48.0,0.9999999999989069,0.3
171,49.0,0.9999999999995468,0.3
172,50.0,0.9999999999998118,0.3
173,51.0,0.999999999999921,0.3
174,52.0,0.9999999999999655,0.3
175,53.0,0.9999999999999837,0.3
176,54.0,0.999999999999991,0.3
177,55.0,0.9999999999999939,0.3
178,56.0,0.999999999999995,0.3
179,57.0,0.9999999999999954,0.3
180,58.0,0.9999999999999954,0.3
181,59.0,0.9999999999999957,0.3
182,60.0,0.9999999999999953,0.3
183,0.0,3.656158440068502e-05,0.4
184,1.0,0.0003290542596057211,0.4
185,2.0,0.0015575234954667838,0.4
186,3.0,0.005161033253992864,0.4
187,4.0,0.013449105698602803,0.4
188,5.0,0.029362204792253932,0.4
189,6.0,0.05588403661500585,0.4
190,7.0,0.09528790103738005,0.4
191,8.0,0.14848311800758518,0.4
192,9.0,0.2146816102371738,0.4
193,10.0,0.2914718612234968,0.4
194,11.0,0.37524304411766707,0.4
195,12.0,0.4618065997749764,0.4
196,13.0,0.5470384084221734,0.4
197,14.0,0.6273998280038161,0.4
198,15.0,0.7002608484245055,0.4
199,16.0,0.764014241292609,0.4
200,17.0,0.8180171152514729,0.4
201,18.0,0.8624194782843169,0.4
202,19.0,0.8979413687105918,0.4
203,20.0,0.925648443243086,0.4
204,21.0,0.946758595267844,0.4
205,22.0,0.9624952540499361,0.4
206,23.0,0.9739898569864209,0.4
207,24.0,0.982227655757568,0.4
208,25.0,0.9880270660924558,0.4
209,26.0,0.9920420424781473,0.4
210,27.0,0.9947781745335815,0.4
211,28.0,0.9966152917708014,0.4
212,29.0,0.9978315900795818,0.4
213,30.0,0.9986262383079846,0.4
214,31.0,0.9991389145843741,0.4
215,32.0,0.9994657457105725,0.4
216,33.0,0.999671748359812,0.4
217,34.0,0.9998001970705146,0.4
218,35.0,0.999879468274834,0.4
219,36.0,0.9999279117885846,0.4
220,37.0,0.999957239753666,0.4
221,38.0,0.9999748365327147,0.4
222,39.0,0.9999853043602517,0.4
223,40.0,0.9999914803784985,0.4
224,41.0,0.9999950956086917,0.4
225,42.0,0.9999971958852797,0.4
226,43.0,0.9999984072075917,0.4
227,44.0,0.9999991009649154,0.4
228,45.0,0.9999994956357485,0.4
229,46.0,0.9999997187105674,0.4
230,47.0,0.9999998440121673,0.4
231,48.0,0.9999999139722278,0.4
232,49.0,0.9999999528072,0.4
233,50.0,0.9999999742441044,0.4
234,51.0,0.9999999860133858,0.4
235,52.0,0.9999999924412234,0.4
236,53.0,0.9999999959340868,0.4
237,54.0,0.9999999978228196,0.4
238,55.0,0.9999999988393018,0.4
239,56.0,0.9999999993838455,0.4
240,57.0,0.9999999996742691,0.4
241,58.0,0.999999999828494,0.4
242,59.0,0.99999999991005,0.4
243,60.0,0.999999999953003,0.4
244,0.0,9.5367431640625e-07,0.5
245,1.0,1.049041748046875e-05,0.5
246,2.0,6.0558319091796875e-05,0.5
247,3.0,0.000244140625,0.5
248,4.0,0.000771939754486084,0.5
249,5.0,0.0020386576652526855,0.5
250,6.0,0.0046776533126831055,0.5
251,7.0,0.0095786452293396,0.5
252,8.0,0.017849069088697433,0.5
253,9.0,0.03071417286992073,0.5
254,10.0,0.04936857335269451,0.5
255,11.0,0.07480639219284058,0.5
256,12.0,0.10766357486136258,0.5
257,13.0,0.1481031842995435,0.5
258,14.0,0.19576415256597102,0.5
259,15.0,0.24977991660125554,0.5
260,16.0,0.308859658514848,0.5
261,17.0,0.3714146793645341,0.5
262,18.0,0.43570733968226705,0.5
263,19.0,0.5,0.5
264,20.0,0.5626853438097896,0.5
265,21.0,0.6223856712476845,0.5
266,22.0,0.6780155218148138,0.5
267,23.0,0.728807994071758,0.5
268,24.0,0.7743095838019372,0.5
269,25.0,0.8143509827644948,0.5
270,26.0,0.8490021934051697,0.5
271,27.0,0.8785198913583372,0.5
272,28.0,0.9032936735690313,0.5
273,29.0,0.923796114019261,0.5
274,30.0,0.9405397737202819,0.5
275,31.0,0.9540427250920729,0.5
276,32.0,0.9648028894664689,0.5
277,33.0,0.9732805947311445,0.5
278,34.0,0.9798882179521415,0.5
279,35.0,0.9849855272940538,0.5
280,36.0,0.9888793052635699,0.5
281,37.0,0.9918259480513119,0.5
282,38.0,0.9940359301421182,0.5
283,39.0,0.9956792501583592,0.5
284,40.0,0.9968911986703365,0.5
285,41.0,0.9977779902644667,0.5
286,42.0,0.9984219698744896,0.5
287,43.0,0.9988862342445058,0.5
288,44.0,0.9992186053275861,0.5
289,45.0,0.9994549580977763,0.5
290,46.0,0.9996219464680193,0.5
291,47.0,0.999739193621594,0.5
292,48.0,0.9998210223641936,0.5
293,49.0,0.9998778014917111,0.5
294,50.0,0.9999169790896982,0.5
295,51.0,0.9999438656765525,0.5
296,52.0,0.9999622209425778,0.5
297,53.0,0.9999746886704444,0.5
298,54.0,0.9999831159309464,0.5
299,55.0,0.9999887851789203,0.5
300,56.0,0.999992581550332,0.5
301,57.0,0.9999951124646063,0.5
302,58.0,0.9999967924680466,0.5
303,59.0,0.9999979029787954,0.5
304,60.0,0.9999986340650385,0.5
305,0.0,1.0995116261902638e-08,0.6
306,1.0,1.429365116267789e-07,0.6
307,2.0,9.741673021590458e-07,0.6
308,3.0,4.6315827808562915e-06,0.6
309,4.0,1.7249666182106438e-05,0.6
310,5.0,5.358974637781344e-05,0.6
311,6.0,0.00014443994686708095,0.6
312,7.0,0.000346906107957512,0.6
313,8.0,0.0007569000841655127,0.6
314,9.0,0.0015222221730870622,0.6
315,10.0,0.0028538826078107205,0.6
316,11.0,0.0050329633191766865,0.6
317,12.0,0.008410538421793845,0.6
318,13.0,0.013398957034889913,0.6
319,14.0,0.020454006216268694,0.6
320,15.0,0.030048873102943907,0.6
321,16.0,0.04264213589170507,0.6
322,17.0,0.058642987435072125,0.6
323,18.0,0.0783773710052249,0.6
324,19.0,0.10205863128940829,0.6
325,20.0,0.12976570582190272,0.6
326,21.0,0.1614309338590394,0.6
327,22.0,0.19683841611874653,0.6
328,23.0,0.23563270102938239,0.6
329,24.0,0.27733655730831575,0.6
330,25.0,0.32137582953886956,0.6
331,26.0,0.3671089199321368,0.6
332,27.0,0.41385830122303213,0.6
333,28.0,0.4609416066660055,0.6
334,29.0,0.5077001996576479,0.6
335,30.0,0.5535236207894579,0.6
336,31.0,0.5978688670460478,0.6
337,32.0,0.6402740087789118,0.6
338,33.0,0.6803661427808924,0.6
339,34.0,0.7178640798768623,0.6
340,35.0,0.7525764559314174,0.6
341,36.0,0.7843961339814266,0.6
342,37.0,0.8132918416160292,0.6
343,38.0,0.8392979784871717,0.6
344,39.0,0.8625034544644986,0.6
345,40.0,0.883040300704433,0.6
346,41.0,0.9010726535004732,0.6
347,42.0,0.9167865609370222,0.6
348,43.0,0.9303809180681765,0.6
349,44.0,0.9420597066944861,0.6
350,45.0,0.9520256063222705,0.6
351,46.0,0.9604749560066969,0.6
352,47.0,0.9675939825493188,0.6
353,48.0,0.9735561672787651,0.6
354,49.0,0.9785205986453249,0.6
355,50.0,0.9826311478168358,0.6
356,51.0,0.9860163059580808,0.6
357,52.0,0.9887895316661001,0.6
358,53.0,0.9910499722432029,0.6
