,x,SuccessRate,SuccessRateUnmixed,PER,RedundancyUsedMin,RedundancyUsed,RedundancyUsedMax,Lost,FaultsUnmixed,WorseDiffRngmixedRlnc,WorseDiffRepeatmixedRlnc
0,0.001,0.53,0.53,0.53,0.474,0.0,2.0754716981132075,110.0,28.44,0.0,0.0
1,0.011090909090909092,0.82,0.66,0.66,0.24583333333333332,0.0,14.390243902439025,195.0,14.75,0.15999999999999992,0.15999999999999992
2,0.021181818181818184,0.71,0.57,0.57,0.35183333333333333,0.0,17.323943661971832,195.0,21.11,0.14,0.14
3,0.03127272727272727,0.86,0.73,0.73,0.20516666666666666,0.0,14.36046511627907,195.0,12.31,0.13,0.13
4,0.041363636363636366,0.89,0.67,0.67,0.24233333333333335,0.0,23.764044943820224,170.0,14.54,0.21999999999999997,0.21999999999999997
5,0.05145454545454546,0.85,0.62,0.62,0.3085,0.0,27.88235294117647,200.0,18.51,0.22999999999999998,0.22999999999999998
6,0.06154545454545455,0.84,0.45,0.45,0.3596666666666667,0.0,36.726190476190474,195.0,21.58,0.38999999999999996,0.38999999999999996
7,0.07163636363636364,0.92,0.62,0.62,0.273,0.0,43.80434782608695,195.0,16.38,0.30000000000000004,0.30000000000000004
8,0.08172727272727273,0.92,0.67,0.67,0.2733333333333333,0.0,33.47826086956522,200.0,16.4,0.25,0.25
9,0.09181818181818183,0.89,0.58,0.58,0.3115,0.0,41.348314606741575,200.0,18.69,0.31000000000000005,0.31000000000000005
10,0.10190909090909092,0.96,0.6,0.6,0.2841666666666667,0.0,46.04166666666667,195.0,17.05,0.36,0.36
11,0.112,0.94,0.59,0.59,0.2915,0.0,50.744680851063826,200.0,17.49,0.35,0.35
12,0.1220909090909091,0.96,0.6,0.6,0.277,0.0,40.0,160.0,16.62,0.36,0.36
13,0.13218181818181818,0.94,0.55,0.55,0.32116666666666666,0.0,50.212765957446805,185.0,19.27,0.3899999999999999,0.3899999999999999
14,0.14227272727272727,0.96,0.45,0.45,0.33466666666666667,0.0,53.75,195.0,20.08,0.51,0.51
15,0.15236363636363637,0.93,0.58,0.58,0.3215,0.0,49.62365591397849,175.0,19.29,0.3500000000000001,0.3500000000000001
