,x,SuccessRate,SuccessRateUnmixed,PER,RedundancyUsedMin,RedundancyUsed,RedundancyUsedMax,Lost,FaultsUnmixed,WorseDiffRngmixedRlnc,WorseDiffRepeatmixedRlnc
16,0.001558730682754426,0.965,0.9616666666666667,0.03779166666666667,0.0,0.6735751295336787,275.0,3.0233333333333334,0.715,0.0,0.0
17,0.001602578371241384,0.86,0.8483333333333334,0.14889583333333334,0.0,1.88953488372093,235.0,11.911666666666667,2.75,0.0,0.0
18,0.0016476595119256485,0.8483333333333334,0.8383333333333334,0.15970833333333334,0.0,1.650294695481336,265.0,12.776666666666667,2.99,0.0,0.0
19,0.001694008802287872,0.895,0.8883333333333333,0.11429166666666667,0.0,2.132216014897579,295.0,9.143333333333333,2.0733333333333333,0.0,0.0
20,0.00174166191586207,0.8683333333333333,0.86,0.1399375,0.0,1.785028790786948,290.0,11.195,2.605,0.0,0.0
21,0.0017906555296923774,0.8783333333333333,0.8716666666666667,0.1284375,0.0,1.7931688804554082,220.0,10.275,2.4066666666666667,0.0,0.0
22,0.0018410273525621612,0.95,0.9433333333333334,0.05645833333333333,0.0,1.5175438596491229,280.0,4.516666666666667,1.01,0.0,0.0
23,0.0018928161540172441,0.885,0.875,0.12358333333333334,0.0,1.873822975517891,275.0,9.886666666666667,2.3333333333333335,0.0,0.0
24,0.0019460617942055622,0.885,0.8766666666666667,0.12241666666666667,0.0,0.8757062146892656,195.0,9.793333333333333,2.276666666666667,0.0,0.0
25,0.0020008052545562064,0.9433333333333334,0.94,0.059166666666666666,0.0,0.2826855123674912,80.0,4.733333333333333,1.11,0.0,0.0
26,0.0020570886693214957,0.9066666666666666,0.9,0.101125,0.0,1.4246323529411764,180.0,8.09,1.8783333333333334,0.0,0.0
27,0.002114955358006339,0.9666666666666667,0.9616666666666667,0.0361875,0.0,0.6551724137931034,175.0,2.895,0.6183333333333333,0.0,0.0
28,0.0021744498587098313,0.8916666666666667,0.8833333333333333,0.11539583333333334,0.0,2.046728971962617,290.0,9.231666666666667,2.1166666666666667,0.0,0.0
29,0.0022356179624047783,0.8733333333333333,0.8616666666666667,0.1345,0.0,1.8606870229007633,295.0,10.76,2.455,0.0,0.0
30,0.0022985067481815194,0.9,0.8833333333333333,0.10941666666666666,0.0,2.3796296296296298,290.0,8.753333333333334,1.97,0.0,0.0
